vote,response,sample,time,user,subject,sample_type,gold_standard
-LZMDLxRyaEj2P_Znrhb,1,subject_001118_task-rest01_in_t1,3868,user_0061,subject_001118,task-rest01_in_t1,False
-LZMDMatCq3ODU71lW_-,0,subject_000346_task-MID02_in_t1,2622,user_0061,subject_000346,task-MID02_in_t1,False
-LZMDO0N2yN28BvtMfS9,0,subject_000596_t1_in_task-rest02,5768,user_0061,subject_000596,t1_in_task-rest02,False
-LZMdr8kyxH0cilAHwOz,1,subject_001384_task-rest01_in_t1,18079,user_0056,subject_001384,task-rest01_in_t1,False
-LZMdrrUz6E7hR2aPZQo,1,subject_003443_t1_in_task-MID01,2907,user_0056,subject_003443,t1_in_task-MID01,False
-LZMdtsrrXUkYl7th6tg,1,subject_002494_task-SST02_in_t1,8266,user_0056,subject_002494,task-SST02_in_t1,False
-LZMduvqi3uG3b5jQsXq,1,gold_subject_001602_t1_in_tfMRI_nBack1_copy1,4272,user_0056,subject_001602,t1_in_tfMRI_nBack1,True
-LZMdvybgMk-QMcAQjEs,1,gold_subject_001025_t1_in_tfMRI_MID2_copy4,4257,user_0056,subject_001025,t1_in_tfMRI_MID2,True
-LZMlMKLJmf11lT4e9MN,0,subject_001198_t1_in_task-SST02,9369,user_0061,subject_001198,t1_in_task-SST02,False
-LZMlNjEQ0MCBBbocSQl,0,gold_subject_001467_rfMRI_REST2_in_t1_copy3,5717,user_0061,subject_001467,rfMRI_REST2_in_t1,True
-LZMlOGUDvnLcyVVsPpf,1,subject_000129_t1_in_task-nback02,2175,user_0061,subject_000129,t1_in_task-nback02,False
-LZMlOz-e7z3mRCZOCqe,1,subject_000821_task-nback01_in_t1,2885,user_0061,subject_000821,task-nback01_in_t1,False
-LZMlPV6yMMxHbg6sRrl,0,subject_002375_t1_in_task-rest03,2103,user_0061,subject_002375,t1_in_task-rest03,False
-LZMlQ-qcLUsf1wGUT5f,1,subject_002509_task-MID02_in_t1,2075,user_0061,subject_002509,task-MID02_in_t1,False
-LZMlQLycvSmoD0NUNuf,0,gold_subject_000071_tfMRI_SST2_in_t1_copy3,1399,user_0061,subject_000071,tfMRI_SST2_in_t1,True
-LZMlQv5MnLHfdaHMlMs,1,subject_002518_t1_in_task-MID01,2287,user_0061,subject_002518,t1_in_task-MID01,False
-LZMlRNT7MnFqK5ond4p,1,subject_002129_t1_in_task-rest01,1849,user_0061,subject_002129,t1_in_task-rest01,False
-LZMlS7bafj88Cwt-1q4,1,subject_001095_t1_in_task-nback01,3066,user_0061,subject_001095,t1_in_task-nback01,False
-LZMlS_s5-ylPoe8HpSk,1,subject_002295_task-rest03_in_t1,1854,user_0061,subject_002295,task-rest03_in_t1,False
-LZMlSxgQ4c_L80WP0IY,1,subject_000908_t1_in_task-SST02,1501,user_0061,subject_000908,t1_in_task-SST02,False
-LZMl_PJx_Kg1UWeVWf8,1,subject_002479_task-rest04_in_t1,30484,user_0061,subject_002479,task-rest04_in_t1,False
-LZMl_wJmcnTKhscN46F,1,subject_000419_task-nback02_in_t1,2148,user_0061,subject_000419,task-nback02_in_t1,False
-LZMlaUoi55FEXaaFbgm,1,subject_003665_task-nback01_in_t1,2254,user_0061,subject_003665,task-nback01_in_t1,False
-LZMlcmn6uVTyFlowuOX,1,subject_001771_task-SST01_in_t1,9381,user_0061,subject_001771,task-SST01_in_t1,False
-LZMldPI3lTe4v-PHYmK,1,subject_001600_task-rest02_in_t1,2505,user_0061,subject_001600,task-rest02_in_t1,False
-LZMlfHJy_uxHT48yKWB,0,subject_001938_task-rest01_in_t1,7654,user_0061,subject_001938,task-rest01_in_t1,False
-LZMlfdIz34kN7XXqVUM,1,subject_001138_t1_in_task-rest01,1445,user_0061,subject_001138,t1_in_task-rest01,False
-LZMyM542uAeIrDQWQGF,1,gold_subject_001622_t1_in_tfMRI_SST1_copy3,4620,user_0016,subject_001622,t1_in_tfMRI_SST1,True
-LZMyMU97MzvTbyVadBf,0,subject_000066_t1_in_task-MID02,1435,user_0016,subject_000066,t1_in_task-MID02,False
-LZMyO7cnxAJDTtlV4k-,0,gold_subject_002087_t1_in_tfMRI_MID1_copy2,6614,user_0016,subject_002087,t1_in_tfMRI_MID1,True
-LZMyPej76hMnazEeeLY,1,subject_001539_task-MID02_in_t1,6147,user_0016,subject_001539,task-MID02_in_t1,False
-LZMyR6WVlEG6FXU8EyO,1,gold_subject_000149_rfMRI_REST1_in_t1_copy3,5821,user_0016,subject_000149,rfMRI_REST1_in_t1,True
-LZMyRoP2Ww5x5k6zZKs,0,gold_subject_000085_t1_in_rfMRI_REST1_copy3,2747,user_0016,subject_000085,t1_in_rfMRI_REST1,True
-LZMySdxLtB-r_38Lazq,0,subject_002713_t1_in_task-nback01,3307,user_0016,subject_002713,t1_in_task-nback01,False
-LZMyU63JVFluQGIgRV-,0,subject_001561_t1_in_task-nback02,5832,user_0016,subject_001561,t1_in_task-nback02,False
-LZMyWmxw_RafbfxUWPU,1,gold_subject_000589_tfMRI_MID1_in_t1_copy1,10874,user_0016,subject_000589,tfMRI_MID1_in_t1,True
-LZMyXatZ0wzphFmZ_vJ,1,gold_subject_000687_t1_in_rfMRI_REST1_copy3,3207,user_0016,subject_000687,t1_in_rfMRI_REST1,True
-LZMyZC_9Go_j3QFEhWi,1,gold_subject_000314_rfMRI_REST3_in_t1_copy1,6447,user_0016,subject_000314,rfMRI_REST3_in_t1,True
-LZMy_YaK6k8FWvMzsNi,1,gold_subject_000086_rfMRI_REST2_in_t1_copy1,5375,user_0016,subject_000086,rfMRI_REST2_in_t1,True
-LZMybIDJpayqBwwjHq6,1,subject_000005_task-nback01_in_t1,7027,user_0016,subject_000005,task-nback01_in_t1,False
-LZMychBNK-mrEkBc_Lu,0,gold_subject_000356_t1_in_tfMRI_SST1_copy4,5634,user_0016,subject_000356,t1_in_tfMRI_SST1,True
-LZMydWMlC0VlsE161Hu,0,subject_002898_t1_in_task-rest01,3219,user_0016,subject_002898,t1_in_task-rest01,False
-LZMyeoDIy2DXqKjE8PG,1,subject_001517_task-SST01_in_t1,5175,user_0016,subject_001517,task-SST01_in_t1,False
-LZMyi7O47wCa5BdfaiS,1,gold_subject_000380_tfMRI_MID4_in_t1_copy1,13459,user_0016,subject_000380,tfMRI_MID4_in_t1,True
